순번,분류,이름,런치,디너,예약,소재지,Latitude,Longitude,링크
33,미들급,스시토보시," 85,000 "," 180,000 ",확인필요,서울 강남구 도산대로27길 16 효정빌딩,37.520808,127.0275666,"https://map.naver.com/v5/search/%EC%8A%A4%EC%8B%9C%ED%98%B8%EC%9A%B0%EC%8B%9C%EC%A0%88/place/36643385?c=14139713.2319618,4511958.3468172,14,0,0,0,dh"
34,미들급,스시유," 90,000 "," 150,000 ",캐치테이블,서울 강남구 영동대로 407 코니빌딩,37.5055716,127.0643795,"https://map.naver.com/v5/search/%EC%8A%A4%EC%8B%9C%EC%9C%A0/place/11486499?c=14144280.3444019,4509827.6646538,15,0,0,0,dh"
35,미들급,스시산원," 80,000 "," 180,000 ",캐치테이블,서울 강남구 선릉로100길 42 LG선릉에클라트 A동 1층 1호,37.5064601,127.051103,"https://map.naver.com/v5/entry/place/34006938?c=14142357.4754091,4510393.7763945,16,0,0,0,dh"
36,미들급,스시카루," 70,000 "," 110,000 ",캐치테이블,서울 서초구 서초대로 275 중앙빌딩 지하1층 105호,37.493311,127.0116424,"https://map.naver.com/v5/search/%EC%8A%A4%EC%8B%9C%EC%B9%B4%EB%A3%A8/place/38264451?c=14138411.4138239,4508098.2768888,15,0,0,0,dh"
37,미들급,스시효 본점," 120,000 "," 200,000 ",전화,서울 서초구 신반포로33길 27 파스텔플라자 2층,37.50998,127.0097656,"https://map.naver.com/v5/search/%EC%8A%A4%EC%8B%9C%ED%9A%A8/place/11679407?c=14137686.0045835,4509503.3537047,13,0,0,0,dh&placePath=%3Fentry%253Dbmp"
38,하이엔드급,스시만," 120,000 "," 230,000 ",네이버예약,서울 서초구 동광로27길 3 1층,37.4941391,126.9947681,"https://map.naver.com/v5/search/%EC%8A%A4%EC%8B%9C%EB%A7%8C/place/1837440079?c=14136538.7066309,4508516.2918873,15,0,0,0,dh"
39,미들급,스시유리," 80,000 "," 150,000 ",전화,서울 강남구 테헤란로83길 36 2층,37.5097723,127.0569487,"https://map.naver.com/v5/search/%EC%8A%A4%EC%8B%9C%EC%9C%A0%EB%A6%AC/place/1547603159?c=14143451.4803764,4510405.7196802,15,0,0,0,dh"
40,하이엔드급,스시치우," 120,000 "," 220,000 ",확인필요,서울 강남구 테헤란로 510 루첸타워 지하1층,37.507009,127.0586339,"https://map.naver.com/v5/search/%EC%8A%A4%EC%8B%9C%EC%B9%98%EC%9A%B0/place/1474270871?c=14143640.1842900,4510018.7572245,15,0,0,0,dh&placePath=%3Fentry%253Dbmp"
41,미들급,스시우토," 90,000 "," 180,000 ",캐치테이블,서울 서초구 동광로 93 3F,37.4936678,126.9925466,"https://map.naver.com/v5/search/%EC%8A%A4%EC%8B%9C%EC%9A%B0%ED%86%A0/place/1403156887?c=14135748.0611195,4508402.2335091,16,0,0,0,dh"
42,하이엔드급,타마유라," 180,000 "," 270,000 ",네이버예약,서울 서초구 신반포로 176 JW 메리어트 호텔 서울 2층,37.5039018,127.0047481,"https://map.naver.com/v5/search/%ED%83%80%EB%A7%88%EC%9C%A0%EB%9D%BC/place/1251661551?c=14139071.9526130,4510463.6364013,13,0,0,0,dh"
43,하이엔드급,타쿠미곤," 150,000 "," 300,000 ",전화,서울 서초구 사평대로18길 10 한국회관 2층,37.4983768,126.9955531,"https://map.naver.com/v5/search/%ED%83%80%EC%BF%A0%EB%AF%B8%EA%B3%A4/place/425978041?c=14136628.8539114,4508813.6402624,15,0,0,0,dh"
44,엔트리급,스시유메, X ," 80,000 ",전화,서울 서초구 동광로 65,37.4926828,126.9896841,"https://map.naver.com/v5/search/%EC%9C%A0%EB%A9%94%EC%B4%88%EB%B0%A5/place/1101463771?c=14136523.1803595,4507612.1851621,16,0,0,0,dh"
45,엔트리급,키세츠스시," 50,000 "," 90,000 ",캐치테이블,서울 서초구 방배천로4안길 18 1층,37.4788504,126.9833275,"https://map.naver.com/v5/search/%ED%82%A4%EC%84%B8%EC%B8%A0%EC%8A%A4%EC%8B%9C/place/1805857091?c=14139493.4755055,4508676.3319153,12,0,0,0,dh"
46,엔트리급,스시이로하, X ," 80,000 ",전화,서울 서초구 서초대로 3-4 방배디오슈페리움1,37.4858503,126.9830269,"https://map.naver.com/v5/search/%EC%8A%A4%EC%8B%9C%EC%9D%B4%EB%A1%9C%ED%95%98/place/112624169?c=14135215.7976911,4507045.2520340,15,0,0,0,dh"
47,엔트리급,기꾸," 70,000 "," 80,000 ",확인필요,서울 서초구 동광로1길 112 104호,37.4969267,126.984625,"https://map.naver.com/v5/search/%EA%B8%B0%EA%BE%B8 %EC%9D%B4%EC%B4%8C%EB%8F%99/place/11738560?c=14135619.0736343,4508528.2351730,14,0,0,0,dh"
48,엔트리급,코우엔, X ," 75,000 ",확인필요,서울 서초구 방배천로22길 4,37.484166,126.9831582,"https://map.naver.com/v5/search/%EC%BD%94%EC%9A%B0%EC%97%94/place/1295914656?c=14135221.9142589,4506818.2395530,15,0,0,0,dh&placePath=%3Fentry%253Dbmp"
49,미들급,스시코에, X ," 110,000 ",전화 / 문자,서울 서초구 서초대로 17 방배대우디오빌 1층 110호,37.4859892,126.9843601,"https://map.naver.com/v5/search/%EC%8A%A4%EC%8B%9C%EC%BD%94%EC%97%90/place/1439625757?c=14135373.0419495,4507071.1543213,15,0,0,0,dh"
50,엔트리급,스시츠바키,"60,000","98,000",확인필요,서울 강남구 언주로174길 30,37.5278137,127.0362641,"https://map.naver.com/v5/search/%EC%8A%A4%EC%8B%9C%EC%B8%A0%EB%B0%94%ED%82%A4/place/1259101978?c=14141129.7056422,4512973.5260992,15,0,0,0,dh"
51,엔트리급,스시세이,"55,000","90,000",확인필요,서울 강남구 선릉로145길 12 1층,37.5215234,127.0384606,"https://map.naver.com/v5/search/%EC%8A%A4%EC%8B%9C%EC%84%B8%3B%EC%9D%B4/place/1153723448?c=14141576.3845263,4512077.7796739,15,0,0,0,dh"
52,엔트리급,스시사카우,"60,000","99,000",전화 / 문자,서울 강남구 언주로153길 10-6 지하 1층,37.5231118,127.0323764,"https://map.naver.com/v5/search/%EC%8A%A4%EC%8B%9C%EC%82%AC%EC%B9%B4%EC%9A%B0/place/1433563609?c=14140764.2411008,4512373.9731586,15,0,0,0,dh"
53,엔트리급,스시카나,"55,000","100,000",네이버예약,서울 강남구 신사동 583-3,37.5240211,127.0278937,"https://map.naver.com/v5/search/%EC%8A%A4%EC%8B%9C%EC%B9%B4%EB%82%98/place/1075528481?c=14140217.1595297,4512407.7258831,15,0,0,0,dh"
54,미들급,스시카나에,"65,000","130,000",캐치테이블,서울 강남구 도산대로75길 15 노노빌딩 2F,37.5251521,127.045702,"https://map.naver.com/v5/search/%EC%8A%A4%EC%8B%9C%EC%B9%B4%EB%82%98%EC%97%90/place/1987992107?c=14142199.8240382,4512567.4543864,15,0,0,0,dh"
55,미들급,스시유키,"80,000","160,000",확인필요,서울 강남구 논현로164길 25,37.5232488,127.0302942,"https://map.naver.com/v5/search/%EC%8A%A4%EC%8B%9C%EC%9C%A0%ED%82%A4/place/37525791?c=14140028.5347035,4512302.3134445,14,0,0,0,dh"
